Skip,Complete?,Story Relevant,Scan Level Needed,Anomaly Level,Location,Planet wanted,Habitable Planet,Asteroids,Nebula,Name,Narrative Seed,Reward,Notes,Comments,Zabanian,Sedranian,Wombles,Fongari,Haxan,Ratfolk
,,,2,15,AAB,Y,Desolate,,,"Ancient Zabanian Empire Outpost on planet
modern Zabanian outpost in space","Tentative indications have been found of ruins of an ancient civilisation.  Speculation is running rampant as to who they might be, and what happened to them.  Orbital scans are only so good though, a proper archaeological dig is called for!

Zabanian robots were programmed to attack Zabanians - this colony was eliminated by Zabanian Empire because it was infected by Fongari/Ungaree",Combat with L3 Army,"Requires ground examination, two spawns",,"Tentative indications have been found of ruins of an ancient civilisation on a desolate world. Speculation is running rampant among the crew as to who they might be, and what happened to them. Orbital scans are only so good though, a proper archaeological dig is called for! (level 15 anomaly)",,,,,
,,,,,ABC,,Desert,Yes,Yes,adianite on planet,The desert world in this sector contains a deposit of the rare mineral adianite,Resource to be harvested,,,,,,,,
,,,1,5,ACE,,"Temperate, Molten?",,,Russell's Teapot/Kallipolissian Urn,"One of the most odd discoveries made in recent times - there appears to be a ceramic object in orbit of a planet in this system.  Clearly placed far enough out to ensure that it remains in a stable orbit, this object warrants further investigation as it has  been in orbit for some time and placed there for some reason.",Gain 2 Xenology Science Points,,Why not  a basic skill in philosophy...,,,,,,"Although the ship’s sensors are pretty basic, a sharp-eyed rat notices an oddity - there appears to be a small ceramic object in orbit of a temperate planet in this system. Clearly placed far enough out to ensure that it remains in a stable orbit, this object warrants further investigation as it has been in orbit for some time and must have been placed there for some reason."
y,,,1,,BBC,,Temperate,,,Zabanian homeworld ,"Zabania - Temperate. Minerals 10

Thirty-two scattered cities dot the vast, untamed landscape. The cities are heavily defended, heavy weaponry mounted atop their great walls. The land for a few miles around each city has been cleared into a killing field, and scorch marks are visible on the ground from where the city guns have struck.  It isn’t clear at first glance what threat the weapons were designed to defend against, but whatever it is the inhabitants clearly take them seriously.  Low-orbit shuttles travel regularly between the cities.
In addition to the relatively few cities scattered on the planet's surface, there are a number of much smaller townships, around 300 in total.  These also have ""killing fields"" around them, however these are much smaller.  

Outpost - Zabanain Remnant                                  ",,,,,,,,,
y,,,,,BCD,,,,Yes,,,,,,,,,,,
ss,,,0,,BDF,,,Yes,,,Space sharks,,,,,Missed,,,,Missed
,,,3,60,CCD,Y,Desolate,Yes,,Orion Military Base/Zabanian world,"There are some ancient ruins on a planet in this system, but this isn't what has the archaeologists interested - the ruins have been partially destroyed by a large impact.  It appears to be orbital bombardment of some kind, but only a full ground investigation will reveal all the secrets.  The archaeology team isn't packing light, they plan to be there a while.",,,,,Missed,PARTIAL - The crew notice a desolate planet that has been partly destroyed by a large impact.(It’s possible to colonise desolate worlds),,,
ss,,,,0,CCD,,,,,,Space sharks,,,,,,,,,
ss,,,,0,CDE,,,,,,Space sharks,,,,,,,,,
y,,,,,CEG,,Temperate,Yes,,Outpost Arachni,Outpost Arachni.  Asteroid Mine Arachni.,,,,,It fails to find anything unusual apart from an outpost owned by Arachni and an asteroid mine also owned by Arachni.,,,,Travelled
y,,,,,DDE,,Temperate,,,Wimbledon Common,"Wimbledon Common. Temperate, Minerals 10.
This is the homeworld of the Wombles.
The planet is mostly covered by a giant ocean with many small islands.  There is one large crescent-shaped continent which is mostly in the southern hemisphere but with one horn extending across the equator.  The vegetation is mostly low lying but with clumps of taller plants.  Rolling across the plains are, what appear to be, numerous species of tumbleweed. The settlements have few above ground buildings but sensors reveal that there are numerous tunnels below ground around the buildings.  One exception is a settlement around what appears to be a giant grounded starship where above ground buildings are the norm although tunnels are still present.  The inhabitants appear to travel between distant settlements by means of catapult launched gliders.

Clapham Common. Desert  Minerals 10
This world has been colonised by the Wombles.
This world is a tidally locked moon of the system's largest gas giant.
The side facing away from the gas giant appears to be barren, cracked rock.  The side facing the gas-giant has a tenacious ring of foliage.
The sole apparent source of water for this foliage is the geysers that cover the surface of the planet.

Outpost Wombles",,,,,,,,,
ss,,,,,DDE,,,,,Space Sharks,Space sharks arrive in turn 9,,,,,,,,,
,,,3,60,DEF,Y,Temperate,,,Crash Landed Zabanian Colony Ship,"There are some ancient ruins on a planet in this system, but this isn't what has the archaeologists interested - the ruins have been partially destroyed by a large impact.  It appears to be orbital bombardment of some kind, but only a full ground investigation will reveal all the secrets.  The archaeology team isn't packing light, they plan to be there a while.",Gain 50 Xenology Science Points,"Zabanian world which was launching a colony ship, which failed, crashlanding on its own planet.",,"Partial - Utasso the Scented finds nothing of any interest.  There are ancient ruins here, but they’ve mostly been destroyed by a large impact.",,,,,
y,,,,,DEF,,Temperate,NO,,Asterioid Mine arachni,"Asteroid mine Arachni.
",,,,,,,,,
,,,0,8,DFH,,,,,Black Hole,"Outpost Arachni.  Asteroid mine, Arachni.
Very little of this star system remains.  No doubt it contained something of value in the distant past.  All that remains are a few eccentrically orbiting rocks and a black hole.  Perhaps something useful can be gained from studying the black hole?",Completion of the anomaly permits the construction of a scientific outpost to study the black hole.  This will provide 2 Physics Science Points per turn.,Entire System,Small ones are lethal.  Very large ones paradoxicly are safer.,,Very little of this star system remains. No doubt it contained something of value in the distant past. All that remains are a few eccentrically orbiting rocks and a black hole. Perhaps something useful can be gained from studying the black hole?,,,,"Very little of this star system remains. No doubt it contained something of value in the distant past, but all that remains now are a few eccentrically orbiting rocks and a black hole. Perhaps something useful can be gained from studying the black hole?"
,,,2,,EEF,,Temperate,,Yes,Debris Cloud (Betelguese),"Unusual debris patterns are found across this nebula.  The physics holding these in place must be operating on totally different principles to those outside this nebula.  Either that, or the conditions here are unique, permitting some truly astounding insights.",Ambush by L3 Betelguese Fleet, Gate piece,,,,,,,
ss,,,0,,EFG,,Temperate,,,,Space Sharks,,,,,,,Space sharks,,
,,,3,35,EGI,desolate,Desolate,,,Rigel,"The habitable planet in this system has an extremely odd density.  It is substantially less dense than one would expect of a typical rocky world.  Either this particular planet has not formed in the standard way expected of such planets or at some point in the past an extensive mining operation took place.  It isn't possible to determine which may be the case from orbital scans; if mines were present here, it was so long ago that they have collapsed.",AI tech,,,,,Missed,,,Missed
y,,,,,FFG,,,Yes,Yes,Arachni asteroid mine,Arachni asteroid mine. Hesperos - L2 female.,,,,,,,,,
y,,,,,FGH,,,Yes,,,,,,,,,,,,
y,,,,,GHI,,Molten?,Yes,,Male spider,"
A gigantic spider occupies an asteroid belt in this system.",,,,,,,,,
,,,2,8,GIK,N,,Yes,,Ungaree Pirate Outpost,"It would appear that some ancient civilisation once claimed this system, as an abandoned outpost is near one of the uninhabitable worlds in this system.  It might contain something useful?",Ambush by L1 Pirate Ship,"Several, may turn up in later turns",,,,Missed,"It would appear that some ancient civilisation once claimed this system, as an abandoned outpost is near one of the uninhabitable worlds in this system.  It might contain something useful?",Missed,Missed
y,,,,,HII,,"Temperate,Desert",Yes,,Fongari homeworld,"Onkodis. Temperate. Minerals 10

Fongari homeworld

Clangers. Fongari Colony world Desert Minerals 10

Outpost - Fongari",,,,,,,,,
ss,,,0,,HIJ,,Desolate,,,,Space Sharks,,,,,,,Missed,,
,,,1,6,HJL,,Desolate,Yes,,"""Elephant's Graveyard""","Dying race hoarding relics of ancestors.
Eyes are immediately drawn to a large obelisk on the surface of a desolate world, in the middle of a large desert.  How it was constructed - and why - is a matter of great debate.  Debate which is ended with a shrug of “who cares why - is there anything valuable down there?!”

Initial scans show that the planet has life barely clinging on through the awful conditions. Whatever is down there can’t possibly be guarded well. It might take some time to explore thoroughly (or carry everything back to the ship).  Of course, there might be nothing at all, but those natives must have something….
Anomaly Level 6

This may relate to the original native race on Sanara.  ","Lots of stealable materials, prob Adianite",,,,,,,,"Eyes are immediately drawn to a large obelisk on the surface of a desolate world, in the middle of a large desert. How it was constructed - and why - is a matter of great debate. Debate which is ended with a shrug of “who cares why - is there anything valuable down there?!”

Initial scans show that the planet has life barely clinging on through the awful conditions. Whatever is down there can’t possibly be guarded well. It might take some time to explore thoroughly (or carry everything back to the ship). Of course, there might be nothing at all, but those natives must have something…."
y,,,,,HJL,,Desolate,Yes,,Outpost Arachni,"Outpost Arachni.  Asteroid mine, Arachni.
",,,,,,,,,
,,,1,12,IJJ,,,,,Rive Crystals,"Stunningly beautiful crystalline structures are found throughout the system.  These structures, no greater than a metre or two across, actually have the ability to move.  The first time a crystal moved it was something of a shock, but they definitely appear to be alive, at least to some degree.  Life really is strange out here.",Adianite,,,,,,"Stunningly beautiful crystalline structures are found throughout the system. These structures, no greater than a metre or two across, actually have the ability to move. The first time a crystal moved it was something of a shock, but they definitely appear to be alive, at least to some degree. Life really is strange out here.",,
,,,2,15,IJK,,Desolate,,,Archaeological Expedition [Zabanaian Empire],"Tentative indications have been found of ruins of an ancient civilisation.  Speculation is running rampant as to who they might be, and what happened to them.  Orbital scans are only so good though, a proper archaeological dig is called for!",Gain 10 Xenology Science Points,"Requires ground examination, two spawns",,,,,,,Missed
y,,,,,IKM,,Desolate,Yes,,Foliá Aráchnis,"Foliá Aráchnis
Outpost Arachni.  Asteroid mine Arachni

This sector has an unusually large number of stargates, fourteen in all, entering the sector from every direction.  Between them, anchored to the gates running up, down and sideways runs a massive web structures, carefully placed to avoid blocking any of the gates.  Tiny lights blnk along the outer edges of the webs - without the lights, some of the webs are so fine that you might have flown into them before you spotted them.

In the centre of the largest web sits a giant spider.  Gawping at her, you conclude she is easily the size of a battleship.",,,,,,,,,
,,,1,3,JKK,Y,Arctic,Yes,,Orion Network Troop Transport,There appears to be a substantial cloud of debris in orbit around one of the planets in this system.  One of the survey crew suggests taking a closer look to see if there's anything worth salvaging.,,Several, salvage equipment required,,,,,"There appears to be a substantial cloud of debris in orbit around one of the planets in this system.  One of the survey crew suggests taking a closer look to see if there's anything worth salvaging. 
A second points out that Discovery I doesn’t have salvage equipment that would be substantial enough to get anything useful.",
,,,1,2,JKL,,,Yes,,Unusual Asteroid,"A particularly attentive survey assistant noticed an unusually dense comet whilst scanning the system.  Upon further examination a seam of precious metals is detected, which could be easily mined…",Gain 20 credits/adianite,No prerequisite technologies required, Several,Several' what?,"There are no planets of any interest here, but a particularly attentive survey assistant noticed an unusually dense comet whilst scanning the system. Upon further examination a seam of precious metals is detected, which could be easily mined…",,,,
,,,,,JKL,,,,,Zabanian Remnant System,Outpost,,,,,,,,,
y,,,,,KLL,,Dyson Sphere,,,Homeworld Haxan Independents,"Homeworld Haxan Independents

Outpost Haxan Independents.",,,,,,,,,
,,,1,3,KLM,,Temperate,,,Debris Cloud (Minor),There appears to be a substantial cloud of debris in orbit around one of the planets in this system.  One of the survey crew suggests taking a closer look to see if there's anything worth salvaging.,Gain 0-2 Physics or Engineering science points,Several, salvage equipment required,I asume it turned out to be the remains of a ship?  I only guess this because of the need for salvage gear....,,,,There appears to be a substantial cloud of debris in orbit around one of the planets in this system. One of the survey crew suggests taking a closer look to see if there's anything worth salvaging.,
,,,,,KLM,,Temperate,,,sapient crabs,"Pre ftl  - theocracy  Jaden

Opponents -Giant Crabs
2xL2 Armies - Base 10 Health, Doubled as crab racial trait. 12 modules, 4 offensive, 8 defensive
=>8 Infantry Level 2 Defence = 260 health=> 4 Close Assault Weapons = 16 firepower (32 against militia)

Total Damage to Crabs = 16+18=34 Damage to 1 Army",,"Crabs may have been space-faring at one point. It would explain all the red jump routes.

A decent survey might find evidence.",,,,,,,
y,,,,,LMM,,Temperate,,,https://archiveofourown.org/works/35797606,"Kallipolis. Temperate. MInerals 10
This is the homeworld of the Kallipoli centaurs.

Kallipolis has wide open grasslands with occasional small forests.  Cities are small and very open plan. It's clear that the inhabitatnts spend most of their time outdoors.

There is a large range of volcanoes along the eastern side of the largest continent and eruptions are not uncommon, with the potential to cause large loss of life.

Fengári (arctic) Minerals 10

A cold, frozen moon, Colonised by the centaurs

Outpost Kallipolis",,,,,,,,,
,,,2,9,LMN,Y,Temperate,Yes,,Zabanian Empire Abandoned Army,An unusual metal signature has been detected on a planet in this system.  It may be worth exploring to see if it is worth establishing a mining operation.,Combat with L2 Zabanian army,Requires ground examination,,,,,,,Missed
