Ref,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,Check L1,Check L2,Check L3,Check L4,Check L5,X Check
,Blue,Blue,Blue,Blue,Blue,Blue,Orange,Orange,Orange,Orange,Orange,Orange,Red,Red,Red,Red,Red,Pink,Pink,Green,Green,Sum,,,,,
,,,,,,,,,,,,,,,,,,,,,,83,24,12,0,0,
,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,1,2,1,2,166,48,24,0,0,119
AAB,XYZ,RSS,BBC,,,,PQQ,,,,,,,,,,,,,,,3,1,0,0,0,OK
ABC,UVW,RST,,,,,,,,,,,JKL,IJK,,,,,,,,2,0,2,0,0,OK
ACE,OPP,ZAA,MNN,,,,CEG,,,,,,,,,,,,,,,3,1,0,0,0,OK
BBC,JKL,PQR,CCD,STT,AAB,,DEF,,,,,,IKM,LMN,,,,,,,,5,1,2,0,0,OK
BCD,YZA,EFG,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
BDF,OPP,HJL,CEG,,,,DEF,RSS,,,,,,,,,,,,,,3,2,0,0,0,OK
CCD,BBC,DDE,STT,,,,UVV,,,,,,,,,,,,,,,3,1,0,0,0,OK
CDE,FGH,LMM,,,,,LMN,,,,,,,,,,,,,,,2,1,0,0,0,OK
CEG,BDF,RSS,IKM,,,,ACE,,,,,,,,,,,,,,,3,1,0,0,0,OK
DDE,CCD,TUU,VWX,UVV,,,IKM,,,,,,,,,,,,,,,4,1,0,0,0,OK
DEF,GHI,XYZ,,,,,BBC,BDF,,,,,,,,,,,,,,2,2,0,0,0,OK
DFH,RSS,IKM,,,,,OPP,,,,,,,,,,,,,,,2,1,0,0,0,OK
EEF,UVV,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,OK
EFG,BCD,HIJ,GHH,FFG,,,KLM,,,,,,,,,,,,,,,4,1,0,0,0,OK
EGI,TUU,VWW,IKM,FHJ,UVV,,FFG,WXX,,,,,,,,,,,,,,5,2,0,0,0,OK
FFG,VWW,EFG,,,,,EGI,,,,,,,,,,,,,,,2,1,0,0,0,OK
FGH,MNN,CDE,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
FHJ,EGI,XYY,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
GHH,VWW,EFG,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
GHI,DEF,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,OK
GIK,HJL,IKM,XYY,YZZ,ZAA,,,,,,,,,,,,,,,,,5,0,0,0,0,OK
HII,WXX,HIJ,KLM,IJJ,,,,,,,,,IKM,,,,,,,,,4,0,1,0,0,OK
HIJ,EFG,HII,,,,,UVV,,,,,,,,,,,,,,,2,1,0,0,0,OK
HJL,BDF,IKM,GIK,,,,OPP,,,,,,,,,,,,,,,3,1,0,0,0,OK
IJJ,JKK,HII,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
IJK,LMN,NOO,,,,,,,,,,,WXY,ABC,,,,,,,,2,0,2,0,0,OK
IKM,CEG,DFH,EGI,GIK,HJL,,RSS,DDE,WXX,LMM,YZZ,,OPP,BBC,KLM,HII,,,,,,5,5,4,0,0,OK
JKK,YZZ,IJJ,TUV,QRS,,,ZAB,,,,,,,,,,,,,,,4,1,0,0,0,OK
JKL,MNO,BBC,,,,,,,,,,,ABC,,,,,,,,,2,0,1,0,0,OK
KLL,YZZ,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,OK
KLM,HII,NOP,,,,,EFG,,,,,,IKM,WXY,YZA,,,,,,,2,1,3,0,0,OK
LMM,ZAA,YZZ,ZAB,CDE,,,IKM,,,,,,PQQ,,,,,,,,,4,1,1,0,0,OK
LMN,OPQ,OPP,IJK,,,,CDE,,,,,,BBC,YZZ,,,,,,,,3,1,2,0,0,OK
MNN,NOO,ACE,FGH,,,,,,,,,,,,,,,,,,,3,0,0,0,0,OK
MNO,JKL,PQR,,,,,VWX,,,,,,,,,,,,,,,2,1,0,0,0,OK
NOO,IJK,MNN,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
NOP,QRS,KLM,,,,,YZZ,,,,,,,,,,,,,,,2,1,0,0,0,OK
OPP,PQQ,BDF,ACE,LMN,,,HJL,DFH,,,,,IKM,,,,,,,,,4,2,1,0,0,OK
OPQ,PQQ,LMN,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
PQQ,OPQ,OPP,QRR,,,,AAB,,,,,,LMM,,,,,,,,,3,1,1,0,0,OK
PQR,MNO,BBC,STU,,,,,,,,,,,,,,,,,,,3,0,0,0,0,OK
QRR,PQQ,XYZ,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
QRS,JKK,NOP,,,,,WXX,,,,,,,,,,,,,,,2,1,0,0,0,OK
RSS,AAB,STT,DFH,CEG,,,IKM,BDF,,,,,,,,,,,,,,4,2,0,0,0,OK
RST,ABC,UVW,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
STT,BBC,CCD,TUU,RSS,,,,,,,,,,,,,,,,,,4,0,0,0,0,OK
STU,PQR,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,OK
TUU,STT,DDE,EGI,,,,,,,,,,,,,,,,,,,3,0,0,0,0,OK
TUV,WXY,JKK,,,,,XYY,,,,,,,,,,,,,,,2,1,0,0,0,OK
